Name	Subtasks	Server	Dependent On
product.dbo.kpi_vendorgoal_config		BI-RPT-PROD	"product.dbo.vw_Vendor_KPI, product.dbo.spKPI_getExceptionRecords, product.dbo.spKPI_LoadtoDestination, product.dbo.spKPI_VenderInputValidation"
bi_rds.dbo.act_bene_rpt_planned_benefits		BI-RPT-PROD	FIN-DATAMART
product.dbo.utilization_vendor_input		BI-RPT-PROD	VendorUtilizationDashboard.dtsx
SCANDS_Prod.dbo.D_MemberRider		BI-RPT-PROD	"IKAODS.dbo.GW_EnrollMember_Riders, IKAODS.dbo.GW_EnrollMember_Details_Active, IKAODS.dbo.GW_HealthPlan_RiderDetails"
bir_objects.dbo.cxi_lkp_genesysikabridge		BI-RPT-PROD	"MedhokODS.dbo.Appeals, MehokODS.mhk_curr.CTM, scands_prod.dbo.d_conversationcampaign, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.d_memberpcp, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.f_conversationdetail, scands_prod.dbo.f_conversationdetailevent, scands_prod.dbo.f_conversationsentiment, scands_prod.dbo.F_MemberMonth_Metrics, MedhokODS.mhk_curr.Grievance, ikaods.dbo.gw_enrollmember_details, ikaods.dbo.gw_enrollmember_pcpdetails, GenesysODS.dbo.wrapupcodes"
bir_objects.dbo.cxi_rpt_membershipbyproductline		BI-RPT-PROD	"scands_prod.dbo.f_membermonth, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_dates_reporting"
bir_objects.dbo.cxi_rpt_membershipbyproviderhierarchy		BI-RPT-PROD	"scands_prod.dbo.f_membermonth, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_site_attributes, scands_prod.dbo.d_dates_reporting"
bir_objects.dbo.cxi_rpt_membershipbyregion		BI-RPT-PROD	"scands_prod.dbo.f_membermonth, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_dates_reporting"
bir_objects.dbo.cxi_voc_rpt		BI-RPT-PROD	"bir_objects.dbo.cxi_inquiryentity_ext, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.d_member, scands_prod.dbo.D_MemberNetworkHierarchy, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_memberaddress, rpt_VOC_Surveys"
bir_objects.dbo.hcs_gad_rpt_mhk_grievance		BI-RPT-PROD	"scands_qualityrisk.dbo.F_QRM_Root_Cause, scands_qualityrisk.dbo.F_QRM_Grievance, scands_prod.dbo.d_site_attributes, scands_qualityrisk.dbo.D_QRM_Provider, scands_prod.dbo.D_MemberNetworkHierarchy, scands_prod.dbo.d_member, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.f_membermonth"
scands_prod.dbo.f_conversationsentiment		BI-RPT-PROD	"GenesysODS.dbo.ConversationsSentiment, GenesysODS.dbo.ConversationsSentimentParticipantMetrics, GenesysODS.dbo.ConversationsSentiment_delta, GenesysODS.dbo.ConversationsSentimentParticipationMetrics_delta"
scands_prod.dbo.f_vocsurvey		BI-RPT-PROD	rx-datamart
repscands_prod.dbo.d_site_attributes			ikaods.dbo.codes_user_defined
bir_objects.dbo.rpt_cxi_memexp_scorecard		BI-RPT-PROD	"scands_prod.dbo.D_MemberNetworkHierarchy, scands_prod.dbo.d_member, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.f_membermonth"
scands_prod.dbo.f_contactaction		BI-RPT-PROD	"scands_prod.dbo.d_member_attributes, scands_prod.dbo.D_Member_Statuses, scands_prod.dbo.d_site_attributes, ikaods.dbo.user_details, ikaods.dbo.member, IKAODS.dbo.CCTR_Actions, IKAODS.dbo.CCTR_Inquiries, IKAODS.dbo.CCTR_Category"
bir_objects.dbo.bi_mbr_surveyqna		BI-RPT-PROD	"MedhokODS.dbo.Appeals, MehokODS.mhk_curr.CTM, bir_objects.dbo.cxi_lkp_genesysikabridge, scands_prod.dbo.d_conversationcampaign, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.d_memberpcp, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.f_conversationdetail, scands_prod.dbo.f_conversationdetailevent, scands_prod.dbo.f_conversationsentiment, scands_prod.dbo.F_MemberMonth_Metrics, MedhokODS.mhk_curr.Grievance, ikaods.dbo.gw_enrollmember_details, ikaods.dbo.gw_enrollmember_pcpdetails, GenesysODS.dbo.wrapupcodes"
bir_objects.dbo.bi_mbr_surveyqnacontact		BI-RPT-PROD	"MedhokODS.dbo.Appeals, MehokODS.mhk_curr.CTM, bir_objects.dbo.cxi_lkp_genesysikabridge, scands_prod.dbo.d_conversationcampaign, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.d_memberpcp, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.f_conversationdetail, scands_prod.dbo.f_conversationdetailevent, scands_prod.dbo.f_conversationsentiment, scands_prod.dbo.F_MemberMonth_Metrics, MedhokODS.mhk_curr.Grievance, ikaods.dbo.gw_enrollmember_details, ikaods.dbo.gw_enrollmember_pcpdetails, GenesysODS.dbo.wrapupcodes"
bir_objects.dbo.bi_mbr_surveyqnamember		BI-RPT-PROD	"MedhokODS.dbo.Appeals, MehokODS.mhk_curr.CTM, bir_objects.dbo.cxi_lkp_genesysikabridge, scands_prod.dbo.d_conversationcampaign, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.d_memberpcp, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.f_conversationdetail, scands_prod.dbo.f_conversationdetailevent, scands_prod.dbo.f_conversationsentiment, scands_prod.dbo.F_MemberMonth_Metrics, MedhokODS.mhk_curr.Grievance, ikaods.dbo.gw_enrollmember_details, ikaods.dbo.gw_enrollmember_pcpdetails, GenesysODS.dbo.wrapupcodes"
scands_prod.dbo.f_voc_senioradvocate		BI-RPT-PROD	"scands_prod.dbo.VW_F_HCS_Care_CoordSurveyQNA, scands_prod.dbo.VW_F_ProviderSurveyQNA, scands_prod.dbo.VW_F_VOC_SerniorAdvocateCalls, scands_prod.dbo.VW_F_VOCSurveyQNA"
bir_objects.aepoep.lkp_aepbudgetmembershipcombined		BI-RPT-PROD	"scands_prod.dbo.d_membersite, scands_prod.dbo.d_memberpcp, scands_prod.dbo.f_cmstrr, BIR_Objects.dbo.lkp_CMSPBP, ikaods.dbo.GW_BEQ_RESPONSE_ARCHIVE, ikaods.dbo.gw_cms_weekly_monthly_trr_archi, scands_prod.dbo.d_memberplan, scands_prod.dbo.f_membermonth, SCANDS_Prod.dbo.D_MemberRider, BIR_Objects.AEPOEP.lkp_AEPPremiumBilling, scands_prod.dbo.d_provider, scands_prod.dbo.d_site_attributes, scands_prod.dbo.D_Member_Void, scands_prod.dbo.D_Member_Attributes_Void, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_member, scands_prod.dbo.d_salesrep, ikaods.dbo.GW_Enrollment_Details, scands_prod.dbo.d_memberenrollment_mc400, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.b_memberapplicationhistory, scands_finance.dbo.lkp_glbenefitplan"
scands_prod.dbo.d_conversationcampaign		BI-RPT-PROD	GenesysODS.dbo.Campaigns
scands_prod.dbo.d_conversationteam		BI-RPT-PROD	GenesysODS.dbo.Teams
scands_prod.dbo.f_cmstrr		BI-RPT-PROD	"SCANDV.dbo.CMSTRR, ikaods.dbo.codes_user_defined, SCANDV.dbo.lkp_CMSDisenrollmentReasonCode, CMSElectionType, CMSPartCDPremiumOption, CMSTransationTypeCode, CMSCopayCategory, CMSEnrollmentSource, CMSPremiumSubsidyLevel, CMSTransationReplyCode, CMSEntitlementTypeCode, CMSP2PreConContact"
scands_prod.dbo.f_conversation		BI-RPT-PROD	"GenesysODS.dbo.conversations, GenesysODS.dbo.ConversationsDivisions, GenesysODS.dbo.Divisions, SCANDV.dbo.Conversations_Delta, SCANDV.dbo.ConversationsDivisions_Delta"
scands_prod.dbo.f_conversationdetail		BI-RPT-PROD	"GenesysODS.dbo.ConversationsParticipants, GenesysODS.dbo.ConversationsParticipantsSessionsSegments, GenesysODS.dbo.ConversationsParticipantsSessionsFlow, GenesysODS.dbo.Users, GenesysODS.dbo.Divisions, GenesysODS.dbo.Queues, GenesysODS.dbo.ConversationsParticipantsAttributes, GenesysODS.dbo.conversationsParticipantsAttributes, SCANDV.dbo.conversationsParticipants_delta, SCANDV.dbo.conversationsParticipantsSessions_delta, SCANDV.dbo.conversationsParticipantsSessionsSegments_delta, SCANDV.dbo.conversationsParticipantsSessionsFlow_delta, SCANDV.dbo.conversationsParticipantsAttributes_delta"
scands_prod.dbo.f_conversationdetailevent		BI-RPT-PROD	"SCANDV.dbo.conversationsParticipantsAttributes_delta, GenesysODS.dbo.ConversationsParticipants, GenesysODS.dbo.ConversationsParticipantsSessionsSegments, GenesysODS.dbo.ConversationsParticipantsSessionsFlow, GenesysODS.dbo.Users, GenesysODS.dbo.Divisions, GenesysODS.dbo.Queues, GenesysODS.dbo.ConversationsParticipantsAttributes, GenesysODS.dbo.conversationsParticipantsAttributes, SCANDV.dbo.conversationsParticipants_delta, SCANDV.dbo.conversationsParticipantsSessions_delta, SCANDV.dbo.conversationsParticipantsSessionsSegments_delta, SCANDV.dbo.conversationsParticipantsSessionsFlow_delta"
scands_prod.dbo.b_encounterdiagnosis		BI-RPT-PROD	SCANDS_Prod.dbo.D_Diagnosis
scands_prod.dbo.d_memberstatushistory		BI-RPT-PROD	"IKAODS.dbo.GW_EnrollMember_Details_Active, IKAODS.dbo.GW_ENROLLMEMBER_PLANDETAILS_ACTIVE, IKAODS.dbo.GW_MEMBER_STATUSES, IKAODS.dbo.BNC_MEMBER_CRM_FLAGS, IKAODS.dbo.GW_BATCH_DATA_OUTGOING_ARCHIVE, IKAODS.dbo.GW_DISENROLLREASONS, IKAODS.dbo.GW_TRC_DETAILS"
scands_prod.dbo.f_encounter		BI-RPT-PROD	scands_prod.dbo.VW_MemberUtilization_Header
scands_prod.dbo.f_lab		BI-RPT-PROD	"scands_prod.dbo.spMedHok_GetMemberLabServiceData, scands_prod.dbo.spMedHok_GetMemberLabResultsData"
scands_prod.dbo.f_rxclaim		BI-RPT-PROD	"scands_prod.dbo.d_site_attributes, scands_prod.dbo.D_Member_Statuses, scands_prod.dbo.d_member_attributes, scands_prod.dbo.D_RxDEA, scands_prod.dbo.d_rxndc, scands_prod.dbo.F_RxClaimAll, scands_prod.dbo.F_RxClaimDrugCategory"
scands_prod.dbo.f_rxtransitionletter		BI-RPT-PROD	"Pharmacy.dbo.Rx_DailyTATOversight, pharmacy.dbo.rx_audit_log"
pharmacy.dbo.esi_formulary		BI-RPT-PROD	"pharmacy.dbo.spESIForm_CheckIfActive, pharmacy.dbo.spESIForm_InsertDatainto_ESI_Formulary, pharmacy.dbo.spESIForm_TotalRecCountFromMonth"
bir_objects.dbo.lkp_rebatecomments		BI-RPT-PROD	rx-datamart
bir_objects.dbo.lkp_rebateoverallcomment		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_actualvsinvoiced		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_rebate_invoicemonth_differences_monthlabel_tableau		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_rebate_invoicemonth_differences_tableau		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_rebate_tableau		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_rebate_tableau_rebatebydruggroup		BI-RPT-PROD	rx-datamart
pharmacy.dbo.mf2prc		BI-RPT-PROD	pharmacy.dbo.spMediSpan_TruncateTables
scands_prod.rxrebates.f_rxinvoicerebates		BI-RPT-PROD	AgentCubdedODS.A3_curr.AgencyManagementArrangement
bir_objects.dbo.rpt_1763_partbdrug_paymentmethodology		BI-RPT-PROD	Rx-datamart.RxAnalytics_PROD[FILE(RX_rpt_1763_PartBDrug_PaymentMethodology.dtsx)]
bi_rds.dbo.mindful_sch_welcomecalls		BI-RPT-PROD	SSIS File (BI_RDS_Mindful_Sch_WelcomeCalls.dtsx)
bir_objects.dbo.si_campaigncall_rpt		BI-RPT-PROD	sp_SI_CampaignCall_RPT
scands_prod.dbo.d_vocquestion		BI-RPT-PROD	"scands_prod.dbo.VW_F_HCS_Care_CoordSurveyQNA, scands_prod.dbo.VW_F_ProviderSurveyQNA, scands_prod.dbo.VW_F_VOC_SerniorAdvocateCalls, scands_prod.dbo.VW_F_VOCSurveyQNA"
scands_prod.dbo.f_vocsurveyresponse		BI-RPT-PROD	"scands_prod.dbo.VW_F_HCS_Care_CoordSurveyQNA, scands_prod.dbo.VW_F_ProviderSurveyQNA, scands_prod.dbo.VW_F_VOC_SerniorAdvocateCalls, scands_prod.dbo.VW_F_VOCSurveyQNA"
product.dbo.spKPI_getExceptionRecords		BI-RPT-PROD	"product.dbo.kpi_formatmapping_config, product.dbo.kpi_vendor_config, product.dbo.kpi_vendor_input, product.dbo.kpi_vendorgoal_config, product.dbo.KPI_FileLog"
bir_objects.dbo.rpt_cost_utilization_byyearandtype_tableau		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_drug_basket_tableau		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_drug_basket_tableau1		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_monthly_utilization_tableau		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_utilization_90_30_ds_tableau		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_utilization_90_30_ds_tableau_paiddate		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_utilization_weekly_bymonth_tableau		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_yoymonth_tableau		BI-RPT-PROD	rx-datamart
bir_objects.dbo.rpt_yoymonth_tableau_drugnames		BI-RPT-PROD	rx-datamart
scands_prod.dbo.f_rx_monthly_coverage		BI-RPT-PROD	pharmacy.dbo.CD_File_Monthly
scands_prod.dbo.d_conversationuser		BI-RPT-PROD	GenesysODS.dbo.Users
scands_prod.dbo.f_claim_history		BI-RPT-PROD	scands_prod.dbo.f_claim
scands_prod.dbo.d_conversationqueue		BI-RPT-PROD	scands_prod.dbo.sp_UpdateKeyColumns_Detail
scands_prod.dbo.D_RxPharmacy		BI-RPT-PROD	"scands_prod.dbo.d_rxndc, scands_prod.dbo.D_RxDEA"
scands_prod.RxRebates.F_RxRebateActuals		BI-RPT-PROD	scands_prod.dbo.d_pharma_formulary
bir_objects.dbo.smct_cms_trr_rpt_hospice		BI-RPT-PROD	"canvas_embrace.dbo.api_billinglineitem, canvas_embrace.dbo.api_interview, canvas_embrace.dbo.api_interviewquestionresponse, canvas_embrace.dbo.api_note, canvas_embrace.dbo.api_notetype, canvas_embrace.dbo.api_patientadministrativedocument, canvas_embrace.dbo.api_patientmetadata, canvas_embrace.dbo.api_question, canvas_embrace.dbo.api_uncategorizedclinicaldocument, athenaembraceods.dbo.appointment, athenaembraceods.dbo.appointmenttype, athenaembraceods.dbo.clinicalencounter, athenaembraceods.dbo.clinicalencounterdata, athenaembraceods.dbo.clinicalencounterreason, scands_prod.dbo.d_member, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_memberplan, athenaembraceods.dbo.document, scands_prod.dbo.f_reasonforvisit, pathembraceods.dbo.facility, pathembraceods.dbo.org, pathembraceods.dbo.orgmembermapping, athenaembraceods.dbo.patient, athenaembraceods.dbo.patientinsurance, athenaembraceods.dbo.patientsocialhistory, pathembraceods.dbo.provider"
bir_objects.dbo.smct_member_attribution_monthly		BI-RPT-PROD	"scands_prod.dbo.d_dates_reporting, scands_prod.dbo.d_member, scands_prod.dbo.D_Member_Statuses, scands_prod.dbo.d_memberplan, scands_prod.dbo.d_provider"
bir_objects.dbo.smct_pod_attribution_monthly		BI-RPT-PROD	"scands_prod.dbo.d_provider, scands_prod.dbo.d_memberplan, scands_prod.dbo.D_Member_Statuses, scands_prod.dbo.d_member, scands_prod.dbo.d_dates_reporting"
bir_objects.dbo.smct_budgeted_enrollment_data		BI-RPT-PROD	"scands_prod.dbo.d_provider, scands_prod.dbo.d_memberplan, scands_prod.dbo.D_Member_Statuses, scands_prod.dbo.d_member, scands_prod.dbo.d_dates_reporting"
bir_objects.dbo.smct_pod_budgeted_enrollment_data		BI-RPT-PROD	"scands_prod.dbo.d_provider, scands_prod.dbo.d_memberplan, scands_prod.dbo.D_Member_Statuses, scands_prod.dbo.d_member, scands_prod.dbo.d_dates_reporting"
bir_objects.dbo.smct_all_goc		BI-RPT-PROD	"scands_prod.dbo.d_provider, scands_prod.dbo.d_memberplan, scands_prod.dbo.D_Member_Statuses, scands_prod.dbo.d_member, scands_prod.dbo.d_dates_reporting"
sp_DisenrollmentCube			"scands_prod.dbo.b_memberapplicationhistory, scands_prod.dbo.d_salesrep, BIR_Objects.dbo.SalesBrokerAgencyCrosswalk, ikaods.dbo.gw_enrollmember_details, scands_prod.dbo.d_site_attributes, scands_finance.dbo.lkp_glbenefitplan, scands_prod.dbo.d_member, scands_prod.dbo.d_memberplan, scands_prod.dbo.d_memberenrollment_mc400, scands_prod.dbo.d_memberpcp, scands_prod.dbo.d_membersite, scands_prod.dbo.d_provider, scands_prod.dbo.f_cmstrr, scands_prod.dbo.F_CMSMMR, scands_prod.dbo.d_memberenrollment"
sp_MarketingActuals			"AgentCubdedODS.A3_curr.AgencyManagementArrangement, AgentCubdedODS.A3_curr.AgencyManagementArrangementContract, AgentCubdedODS.A3_curr.AgencyManagementParty, scands_finance.dbo.lkp_glbenefitplan, scands_prod.dbo.d_site_attributes, scands_prod.dbo.b_memberapplicationhistory, scands_prod.dbo.d_salesrep, scands_prod.dbo.d_memberenrollment, ikaods.dbo.GW_Enrollment_Details, scands_prod.dbo.d_member, scands_prod.dbo.d_membersite, scands_prod.dbo.d_memberpcp, scands_prod.dbo.d_memberplan, scands_prod.dbo.d_provider, scands_prod.dbo.f_cmstrr, ikaods.dbo.GW_BEQ_RESPONSE_ARCHIVE, Marketing.dbo.Rpt_EnrollCampaignSource_TS, BIR_Objects.dbo.Campaign Map, scands_prod.dbo.F_CampaignCall, Marketing.dbo.Mktg_Digital_Metrics, BIR_Objects.dbo.campaign_map_xref, Marketing.dbo.F_Marketing_Campaign, scands_prod.dbo.F_LeadSource, scands_prod.dbo.F_LeadToMember"
spAEPPrepCurrentEnrollmentsDisEnrollments			"scands_finance.dbo.lkp_glbenefitplan, scands_prod.dbo.b_memberapplicationhistory, scands_prod.dbo.d_memberenrollment, ikaods.dbo.gw_enrollmember_details, scands_prod.dbo.d_salesrep, scands_prod.dbo.d_member, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_site_attributes, scands_prod.dbo.d_provider, BIR_Objects.AEPOEP.lkp_AEPPremiumBilling, SCANDS_Prod.dbo.D_MemberRider, scands_prod.dbo.f_membermonth, scands_prod.dbo.d_memberenrollment_mc400, scands_prod.dbo.d_memberplan, ikaods.dbo.gw_cms_weekly_monthly_trr_archi, ikaods.dbo.GW_BEQ_RESPONSE_ARCHIVE, scands_prod.dbo.f_cmstrr, scands_prod.dbo.d_memberpcp, scands_prod.dbo.d_membersite, scands_prod.dbo.D_Member_Void, scands_prod.dbo.D_Member_Attributes_Void, ikaods.dbo.GW_Enrollment_Details, ikaods.dbo.gw_enrollmember_plandetails, ikaods.dbo.gw_healthplan_details, ikaods.dbo.gw_mapenrollmembertoletters, ikaods.dbo.gw_letter_data_outgoing_archive, scands_prod.dbo.f_letter, scands_prod.dbo.d_dates_reporting"
sp_DisenrollmentCube_Metrics			"MedhokODS.dbo.Appeals, bir_objects.dbo.bi_mbr_surveyqna, MehokODS.mhk_curr.CTM, bir_objects.dbo.cxi_lkp_genesysikabridge, scands_prod.dbo.d_conversationcampaign, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.d_memberpcp, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.f_conversationdetail, scands_prod.dbo.f_conversationdetailevent, scands_prod.dbo.f_conversationsentiment, scands_prod.dbo.F_MemberMonth_Metrics, MedhokODS.mhk_curr.Grievance, ikaods.dbo.gw_enrollmember_details, ikaods.dbo.gw_enrollmember_pcpdetails, GenesysODS.dbo.wrapupcodes"
sp_CXI_RPT_MembershipByProductLine			"scands_prod.dbo.f_membermonth, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_dates_reporting"
sp_CXI_RPT_MembershipByProviderHierarchy			"scands_prod.dbo.f_membermonth, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_site_attributes, scands_prod.dbo.d_dates_reporting"
sp_CXI_RPT_MembershipByRegion			"scands_prod.dbo.f_membermonth, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_dates_reporting"
sp_CXI_VOC_RPT_Delta			"BIR_Objects.dbo.CXI_InquiryTopic_EXT, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.d_member, scands_prod.dbo.D_MemberNetworkHierarchy, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_memberaddress, rpt_VOC_Surveys"
SP_HCS_GAD_RPT_MHK_Grieveance			"scands_qualityrisk.dbo.F_QRM_Root_Cause, scands_qualityrisk.dbo.F_QRM_Grievance, scands_prod.dbo.d_site_attributes, scands_qualityrisk.dbo.D_QRM_Provider"
sp_rpt_CXI_MemExp_Scorecard			"scands_prod.dbo.D_MemberNetworkHierarchy, scands_prod.dbo.d_member, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.f_membermonth, SP_HCS_GAD_RPT_MHK_Grieveance"
sp_SI_CampaignCall_RPT			"GenesysODS.dbo.wrapupcodes, scands_prod.dbo.f_conversationdetail, scands_prod.dbo.f_conversationdetailevent, scands_prod.dbo.f_contactinquiry, scands_prod.dbo.d_member, scands_prod.dbo.d_dates_reporting, scands_prod.dbo.d_conversationcampaign"
